These numbers are a processed version of the trigger indices of the EEG data given at https://fsl.fmrib.ox.ac.uk/eeglab/fmribplugin/#tutorial. An extra value has been appended to indicate the end of the last slice epoch, and all values have been shifted slightly to the left.
58791
59083
59375
59667
59959
60251
60543
60836
61128
61420
61712
62004
62296
62588
62880
63173
63465
63757
64049
64341
64633
64935
65228
65520
65812
66104
66396
66688
66980
67272
67564
67857
68149
68441
68733
69025
69317
69609
69901
70193
70486
70778
71080
71372
71664
71956
72249
72541
72833
73125
73417
73709
74001
74293
74585
74878
75170
75462
75754
76046
76338
76630
76922
77225
77517
77809
78101
78393
78685
78977
79270
79562
79854
80146
80438
80730
81022
81314
81606
81899
82191
82483
82775
83067
83369
83661
83954
84246
84538
84830
85122
85414
85706
85998
86290
86583
86875
87167
87459
87751
88043
88335
88627
88919
89212
89514
89806
90098
90390
90682
90974
91267
91559
91851
92143
92435
92727
93019
93311
93604
93896
94188
94480
94772
95064
95356
95659
95951
96243
96535
96827
97119
97411
97703
97996
98288
98580
98872
99164
99456
99748
100040
100332
100625
100917
101209
101501
101803
102095
102387
102680
102972
103264
103556
103848
104140
104432
104724
105016
105309
105601
105893
106185
106477
106769
107061
107353
107646
107948
108240
108532
108824
109116
109408
109700
109993
110285
110577
110869
111161
111453
111745
112037
112330
112622
112914
113206
113498
113790
114092
114385
114677
114969
115261
115553
115845
116137
116429
116721
117014
117306
117598
117890
118182
118474
118766
119058
119351
119643
119935
120237
120529
120821
121113
121406
121698
121990
122282
122574
122866
123158
123450
123742
124035
124327
124619
124911
125203
125495
125787
126079
126382
126674
126966
127258
127550
127842
128134
128427
128719
129011
129303
129595
129887
130179
130471
130763
131056
131348
131640
131932
132224
132526
132818
133111
133403
133695
133987
134279
134571
134863
135155
135447
135740
136032
136324
136616
136908
137200
137492
137784
138077
138369
138671
138963
139255
139547
139839
140131
140424
140716
141008
141300
141592
141884
142176
142468
142761
143053
143345
143637
143929
144221
144513
144816
145108
145400
145692
145984
146276
146568
146860
147152
147445
147737
148029
148321
148613
148905
149197
149489
149782
150074
150366
150658
150960
151252
151544
151837
152129
152421
152713
153005
153297
153589
153881
154173
154466
154758
155050
155342
155634
155926
156218
156510
156803
157105
157397
157689
157981
158273
158565
158857
159150
159442
159734
160026
160318
160610
160902
161194
161487
161779
162071
162363
162655
162947
163249
163542
163834
164126
164418
164710
165002
165294
165586
165878
166171
166463
166755
167047
167339
167631
167923
168215
168508
168800
169092
169394
169686
169978
170270
170563
170855
171147
171439
171731
172023
172315
172607
172899
173192
173484
173776
174068
174360
174652
174944
175236
175539
175831
176123
176415
176707
176999
177291
177583
177876
178168
178460
178752
179044
179336
179628
179920
180213
180505
180797
181089
181381
181683
181975
182268
182560
182852
183144
183436
183728
184020
184312
184604
184897
185189
185481
185773
186065
186357
186649
186941
187234
187526
187828
188120
188412
188704
188996
189289
189581
189873
190165
190457
190749
191041
191333
191625
191918
192210
192502
192794
193086
193378
193670
193973
194265
194557
194849
195141
195433
195725
196017
196309
196602
196894
197186
197478
197770
198062
198354
198646
198939
199231
199523
199815
200117
200409
200701
200994
201286
201578
201870
202162
202454
202746
203038
203330
203623
203915
204207
204499
204791
205083
205375
205667
205960
206262
206554
206846
207138
207430
207722
208015
208307
208599
208891
209183
209475
209767
210059
210351
210644
210936
211228
211520
211812
212104
212406
212699
212991
213283
213575
213867
214159
214451
214743
215035
215328
215620
215912
216204
216496
216788
217080
217372
217665
217957
218249
218551
218843
219135
219427
219720
220012
220304
220596
220888
221180
221472
221764
222056
222349
222641
222933
223225
223517
223809
224101
224393
224696
224988
225280
225572
225864
226156
226448
226740
227033
227325
227617
227909
228201
228493
228785
229077
229370
229662
229954
230246
230538
230840
231132
231425
231717
232009
232301
232593
232885
233177
233469
233761
234054
234346
234638
234930
235222
235514
235806
236098
236391
236683
236985
237277
237569
237861
238153
238446
238738
239030
239322
239614
239906
240198
240490
240782
241075
241367
241659
241951
242243
242535
242827
243130
243422
243714
244006
244298
244590
244882
245174
245467
245759
246051
246343
246635
246927
247219
247511
247803
248096
248388
248680
248972
249274
249566
249858
250151
250443
250735
251027
251319
251611
251903
252195
252487
252780
253072
253364
253656
253948
254240
254532
254824
255116
255419
255711
256003
256295
256587
256879
257171
257464
257756
258048
258340
258632
258924
259216
259508
259801
260093
260385
260677
260969
261261
261563
261856
262148
262440
262732
263024
263316
263608
263900
264192
264485
264777
265069
265361
265653
265945
266237
266529
266822
267114
267406
267708
268000
268292
268584
268877
269169
269461
269753
270045
270337
270629
270921
271213
271506
271798
272090
272382
272674
272966
273258
273550
273853
274145
274437
274729
275021
275313
275605
275897
276190
276482
276774
277066
277358
277650
277942
278234
278527
278819
279111
279403
279695
279997
280289
280582
280874
281166
281458
281750
282042
282334
282626
282919
283211
283503
283795
284087
284379
284671
284963
285255
285548
285840
286142
286434
286726
287018
287310
287603
287895
288187
288479
288771
289063
289355
289647
289939
290232
290524
290816
291108
291400
291692
291984
292287
292579
292871
293163
293455
293747
294039
294331
294623
294916
295208
295500
295792
296084
296376
296668
296960
297253
297545
297837
298129
298431
298723
299015
299308
299600
299892
300184
300476
300768
301060
301352
301644
301937
302229
302521
302813
303105
303397
303689
303981
304273
304565
